Country,Reference area,Frequency of observation,Measure,AGE,Age,SEX,Sex,Unit of measure,Measurement method,Year,Time period,Daily_Smokers_Percentage,Observation value,Observation status,Unit multiplier,Decimals,Cluster
AUS,Australia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,14.1,,Normal value,Units,,2
AUS,Australia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,11.3,,Normal value,Units,,2
AUS,Australia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,10.8,,Normal value,Units,,2
AUS,Australia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,10.0,,Normal value,Units,,2
AUS,Australia,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2022,,7.8,,Normal value,Units,,2
AUT,Austria,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,22.1,,Normal value,Units,,0
AUT,Austria,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2019,,17.8,,Normal value,Units,,0
BEL,Belgium,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,16.4,,Normal value,Units,,0
BEL,Belgium,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,12.1,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2010,,13.7,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2011,,14.0,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2012,,13.5,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2013,,12.9,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2014,,11.7,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2016,,10.8,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2017,,10.0,,Normal value,Units,,0
CAN,Canada,Annual,Share of population who are daily smokers,Y_GE15,15 years or over,F,Female,Percentage of population,Not applicable,2018,,9.7,,Normal value,Units,,0
